"ano_q","ibge_id_q","municipio","dependencia_id_q","ciclo_id_q","nota_mt_q","nota_lp_q","ideb_q","aprovacao_q","abandono_q","see","idh_municipal","idh_renda","idh_longevidade","idh_educacao","infra","see_idh_educacao"
"2019","5100508","Alto Paraguai","Estadual","AF",1.39461246732455,1.33242765630348,5.1,86.6,4.1,1,0.638,0.612,0.784,0.541,10,0.541
"2019","5100508","Alto Paraguai","Municipal","AI",0.22120942641174,1.81889763779527,4.5,100,0,0,0.638,0.612,0.784,0.541,5,0
"2019","5100508","Alto Paraguai","Municipal","AF",1.39461246732455,1.33242765630348,4.5,0,0,0,0.638,0.612,0.784,0.541,5,0
"2021","5100508","Alto Paraguai","Estadual","AI",2.11596211596212,3.60769402818161,4.7,100,0,1,0.638,0.612,0.784,0.541,7,0.541
"2021","5100508","Alto Paraguai","Estadual","AF",2.19552609776305,0.475773131338426,3.8,98.8,0,1,0.638,0.612,0.784,0.541,9,0.541
"2021","5100508","Alto Paraguai","Municipal","AI",1.52344652344652,2.99373741892194,4.5,100,0,0,0.638,0.612,0.784,0.541,5,0
"2021","5100508","Alto Paraguai","Municipal","AF",1.39461246732455,1.33242765630348,4.5,100,0,0,0.638,0.612,0.784,0.541,5,0
"2023","5100508","Alto Paraguai","Estadual","AI",2.07012387150955,1.45522388059701,4.9,100,0,1,0.638,0.612,0.784,0.541,6,0.541
"2023","5100508","Alto Paraguai","Estadual","AF",0.765115902091101,0.775118285555245,3.8,95.8,4.2,1,0.638,0.612,0.784,0.541,7,0.541
"2023","5100508","Alto Paraguai","Municipal","AI",0.237245433550282,1.34461620469083,4.5,100,0,0,0.638,0.612,0.784,0.541,4,0
"2023","5100508","Alto Paraguai","Municipal","AF",1.39461246732455,1.33242765630348,4.5,100,0,0,0.638,0.612,0.784,0.541,5,0
"2015","5100607","Alto Taquari","Estadual","AI",3.84138785625774,5.01685066821616,5.8,100,0,1,0.705,0.736,0.833,0.571,10,0.571
"2015","5100607","Alto Taquari","Estadual","AF",5.62706270627063,5.32971882486446,4.6,82.1,7.2,1,0.705,0.736,0.833,0.571,7,0.571
"2015","5100607","Alto Taquari","Municipal","AI",5.42300326686944,6.10226612434631,5.8,90.4,1.7,0,0.705,0.736,0.833,0.571,5,0
"2015","5100607","Alto Taquari","Municipal","AF",6.15765422696115,8.38229731433615,4.4,90.6,1.9,0,0.705,0.736,0.833,0.571,7,0
"2017","5100607","Alto Taquari","Estadual","AI",4.47352024922118,5.29782910918618,6.1,100,0,1,0.705,0.736,0.833,0.571,7,0.571
"2017","5100607","Alto Taquari","Estadual","AF",4.7683615819209,6.32667964946446,5,90.5,1.6,1,0.705,0.736,0.833,0.571,7,0.571
"2017","5100607","Alto Taquari","Municipal","AI",4.39786381842457,5.62934445513849,5.7,96.2,0,0,0.705,0.736,0.833,0.571,6,0
"2017","5100607","Alto Taquari","Municipal","AF",7.14689265536723,8.00024342745862,5.3,92.9,0,0,0.705,0.736,0.833,0.571,4,0
"2019","5100607","Alto Taquari","Estadual","AI",4.50088928412628,5.85714285714286,5.9,100,0,1,0.705,0.736,0.833,0.571,10,0.571
"2019","5100607","Alto Taquari","Estadual","AF",5.97487833201288,6.95429494035805,5.9,86.8,3.8,1,0.705,0.736,0.833,0.571,7,0.571
"2019","5100607","Alto Taquari","Municipal","AI",7.11760782570031,7.32508436445444,6.3,94.9,0,0,0.705,0.736,0.833,0.571,6,0
"2019","5100607","Alto Taquari","Municipal","AF",5.97487833201288,6.95429494035805,6.3,0,0,0,0.705,0.736,0.833,0.571,3,0
"2021","5100607","Alto Taquari","Estadual","AI",5.35479692453124,6.30765337331498,6.3,100,0,1,0.705,0.736,0.833,0.571,9,0.571
"2021","5100607","Alto Taquari","Estadual","AF",5.97487833201288,6.95429494035805,6.3,99.1,0,1,0.705,0.736,0.833,0.571,8,0.571
"2021","5100607","Alto Taquari","Municipal","AI",6.43913143913144,6.99843435473048,5.6,97.1,0,0,0.705,0.736,0.833,0.571,7,0
"2021","5100607","Alto Taquari","Municipal","AF",5.97487833201288,6.95429494035805,5.6,97.1,0,0,0.705,0.736,0.833,0.571,4,0
"2023","5100607","Alto Taquari","Estadual","AI",5.35479692453124,6.30765337331498,5.6,97.1,0,1,0.705,0.736,0.833,0.571,7,0.571
"2023","5100607","Alto Taquari","Estadual","AF",6.1744204895445,6.73253548566658,5.1,100,0,1,0.705,0.736,0.833,0.571,8,0.571
"2023","5100607","Alto Taquari","Municipal","AI",6.644971656519,8.2342750533049,6.7,100,0,0,0.705,0.736,0.833,0.571,4,0
"2023","5100607","Alto Taquari","Municipal","AF",5.97487833201288,6.95429494035805,6.7,100,0,0,0.705,0.736,0.833,0.571,7,0
"2015","5100805","Apiacás","Estadual","AI",4.27171341669483,5.26321905868681,5.9,100,0,1,0.675,0.666,0.809,0.57,5,0.57
"2015","5100805","Apiacás","Estadual","AF",2.87382584412287,3.87592989534737,4.2,91.7,0,1,0.675,0.666,0.809,0.57,6,0.57
"2015","5100805","Apiacás","Municipal","AI",4.49363523712966,3.91748983149332,5.7,100,0,0,0.675,0.666,0.809,0.57,7,0
"2015","5100805","Apiacás","Municipal","AF",6.11322670728612,5.35493632581011,4.9,98.4,1.6,0,0.675,0.666,0.809,0.57,6,0
"2017","5100805","Apiacás","Estadual","AI",5.50956831330663,4.97379959362635,6.2,98.6333333333333,0,1,0.675,0.666,0.809,0.57,6,0.57
"2017","5100805","Apiacás","Estadual","AF",3.67796610169492,4.40360272638754,4.6,95.1,0,1,0.675,0.666,0.809,0.57,6,0.57
"2017","5100805","Apiacás","Municipal","AI",4.25812194036493,4.59736926531922,5.9,100,0,0,0.675,0.666,0.809,0.57,5,0
"2017","5100805","Apiacás","Municipal","AF",4.59039548022599,4.97200584225901,4.3,76.2,4.8,0,0.675,0.666,0.809,0.57,6,0
"2019","5100805","Apiacás","Estadual","AI",6.82303245887061,5.86164229471316,6.1,97.8,0,1,0.675,0.666,0.809,0.57,7,0.57
"2019","5100805","Apiacás","Estadual","AF",5.11875962172861,4.59287359436391,4.5,98.2,0,1,0.675,0.666,0.809,0.57,5,0.57
"2019","5100805","Apiacás","Municipal","AI",5.45353490440196,5.26659167604049,6,100,0,0,0.675,0.666,0.809,0.57,5,0
"2019","5100805","Apiacás","Municipal","AF",6.44490873103145,5.89215553448042,4.3,84.3,4.3,0,0.675,0.666,0.809,0.57,3,0
"2021","5100805","Apiacás","Estadual","AI",6.4010164010164,5.82867367479311,5.8,100,0,1,0.675,0.666,0.809,0.57,7,0.57
"2021","5100805","Apiacás","Estadual","AF",5.36764705882353,3.2565418805559,4.6,98,0,1,0.675,0.666,0.809,0.57,8,0.57
"2021","5100805","Apiacás","Municipal","AI",4.8048048048048,6.09930664280921,5.5,100,0,0,0.675,0.666,0.809,0.57,6,0
"2021","5100805","Apiacás","Municipal","AF",5.15945200127107,4.71183253104929,5.5,87.1,12.9,0,0.675,0.666,0.809,0.57,5,0
"2023","5100805","Apiacás","Estadual","AI",2.13415914339702,2.62260127931769,5,97.7,0,1,0.675,0.666,0.809,0.57,7,0.57
"2023","5100805","Apiacás","Estadual","AF",5.40119954611769,3.37879209574172,4.5,94.7,0,1,0.675,0.666,0.809,0.57,7,0.57
"2023","5100805","Apiacás","Municipal","AI",1.94940163762335,2.71055437100213,5,94.6,2.7,0,0.675,0.666,0.809,0.57,5,0
"2023","5100805","Apiacás","Municipal","AF",6.84713892040849,6.67965488449764,5,98.4,1.6,0,0.675,0.666,0.809,0.57,6,0
"2015","5101001","Araguaiana","Estadual","AI",2.10212859692047,3.69871062469348,4.8,100,0,1,0.687,0.671,0.817,0.591,9,0.591
"2015","5101001","Araguaiana","Estadual","AF",1.65016501650165,4.38406253940234,4.1,89.7,6.9,1,0.687,0.671,0.817,0.591,5,0.591
"2015","5101001","Araguaiana","Municipal","AI",2.0209530246705,3.43869843114468,5.1,96.2666666666667,0,0,0.687,0.671,0.817,0.591,7,0
"2015","5101001","Araguaiana","Municipal","AF",2.56578736133969,3.76122965792531,5.1,93.3,6.7,0,0.687,0.671,0.817,0.591,6,0
"2017","5101001","Araguaiana","Estadual","AI",1.51846906987094,1.93776066730831,4.9,100,0,1,0.687,0.671,0.817,0.591,9,0.591
"2017","5101001","Araguaiana","Estadual","AF",0.324858757062149,2.04235637779942,3.7,100,0,1,0.687,0.671,0.817,0.591,6,0.591
"2017","5101001","Araguaiana","Municipal","AI",2.17890520694259,5.21869318789434,5.5,100,0,0,0.687,0.671,0.817,0.591,5,0
"2017","5101001","Araguaiana","Municipal","AF",3.70715630885122,4.57035053554041,4.7,100,0,0,0.687,0.671,0.817,0.591,6,0
"2019","5101001","Araguaiana","Estadual","AI",1.84971098265896,3.29246344206974,5,100,0,1,0.687,0.671,0.817,0.591,9,0.591
